t,V,G,X,S,P,r_V,r_G,r_X,r_S,r_P,q_G,q_X,q_S,q_P,q_D,q_M,q_O
0.0,0.781,0.0,0.71,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
0.09923190097121874,0.7811080674006075,-9.966088280136073e-9,0.7234705774181948,0.13394479561182657,0.09815595147761326,0.0010992826220826925,-6.15913245967651e-8,0.13702533402308933,1.362512518177163,0.9984614333909209,-6.747300246159308,0.1894000092057417,1.8833005248665096,1.3800995708133275,3.2634000956798372,8.515072029093602,-12.962252359809357
0.412767588077314,0.7814631668541299,-9.87351328708845e-9,0.7677336452161068,0.5740749686017153,0.420687302595033,0.001166538461848774,2.3859016069138962e-8,0.14540875947148824,1.4458731769931725,1.0595488742617005,-6.747300246159308,0.1894000092057417,1.8833005248665096,1.3800995708133275,3.2634000956798372,8.515072029093602,-12.962252359809357
0.6399993613106659,0.7817340301965052,-9.806536637508263e-9,0.8014967005196644,0.9097981823488416,0.6667082945115099,0.0012178399813881976,-3.853345684891295e-8,0.151803482456796,1.5094591567674596,1.1061452523954869,-6.747300246159308,0.1894000092057417,1.8833005248665096,1.3800995708133275,3.2634000956798372,8.515072029093602,-12.962252359809357
0.7392312597031204,0.7818560240881555,-9.783566436441868e-9,0.8167032118870344,1.0610042497510084,0.7775134638596752,0.0012409456301342822,2.430633982992792e-10,0.15468359583963673,1.5380975723811074,1.1271317673278003,-6.747300245827792,0.18940000919334257,1.8833005062233743,1.380099589327566,3.2634000955509403,8.515044414990793,-12.962108212027927
1.0527669386612852,0.782256884698943,-9.701331675875762e-9,0.866670397556858,1.5578533600933107,1.141608971122205,0.0013168686335026747,2.677191851855549e-10,0.1641473812648668,1.6322007984476439,1.196091459750578,-6.747300245827792,0.18940000919334257,1.8833005062233743,1.380099589327566,3.2634000955509403,8.515044414990793,-12.962108212027927
1.2799987059895082,0.7825626538113507,-9.643516247117688e-9,0.904784449176362,1.9368407372056375,1.419334337724436,0.0013747813062037558,2.308310986900495e-10,0.17136618299199638,1.7039810111568792,1.2486926467382653,-6.747300245827792,0.18940000919334257,1.8833005062233743,1.380099589327566,3.2634000955509403,8.515044414990793,-12.962108212027927
1.3792306011756272,0.7827003688791495,-9.618950260579613e-9,0.9219506016417065,2.1075325099799085,1.5444188103470287,0.001400864541225521,2.37538784761771e-10,0.1746174524134595,1.736310018797334,1.272383662555326,-6.747300245442448,0.18940000917893027,1.8833004888824925,1.3800996065186222,3.263400095401115,8.515026754999871,-12.962017219212996
1.6927662700029718,0.7831528878157574,-9.547709781393529e-9,0.9783569860949787,2.668409839804024,1.9554347829785605,0.0014865716319727017,2.296283446324871e-10,0.1853008221466595,1.8425401902142753,1.3502300915444252,-6.747300245442448,0.18940000917893027,1.8833004888824925,1.3800996065186222,3.263400095401115,8.515026754999871,-12.962017219212996
1.9199980299889865,0.7834980609498639,-9.492655916253337e-9,1.0213827402242845,3.0962367661993038,2.2689502183866153,0.001551947426740777,2.5298599549742234e-10,0.19344990037368046,1.923570614000535,1.4096099178884474,-6.747300245442448,0.18940000917893027,1.8833004888824925,1.3800996065186222,3.263400095401115,8.515026754999871,-12.962017219212996
2.019229921306241,0.7836535231573546,-9.469303205124082e-9,1.0407610696910308,3.288925336848664,2.4101541459840727,0.0015813919701521415,2.1104285350694373e-10,0.1971201561350358,1.9600658146007062,1.4363539593366512,-6.747300244992393,0.18940000916209768,1.8833004727805471,1.3800996224455817,3.2634000952261286,8.515009960173977,-12.961931659173342
2.332765577909419,0.7841643575477585,-9.412127920420736e-9,1.1044364624438343,3.922082102819083,2.874137151507622,0.0016781440083749593,1.8521488364955193e-10,0.20918027610581696,2.079985711876548,1.5242323448338695,-6.747300244992393,0.18940000916209768,1.8833004727805471,1.3800996224455817,3.2634000952261286,8.515009960173977,-12.961931659173342
2.559997329036095,0.7845540126382498,-9.362557192218699e-9,1.1530068825080289,4.405042454694044,3.2280548661326995,0.0017519446860840473,2.5459357685562647e-10,0.21837951411098236,2.1714584069465954,1.5912643632264878,-6.747300244992393,0.18940000916209768,1.8833004727805471,1.3800996224455817,3.2634000952261286,8.515009960173977,-12.961931659173342
2.659229215631481,0.7847295090310533,-9.342279055241267e-9,1.1748824687022383,4.622562515446165,3.387455537264854,0.0017851837043368966,1.703656690991374e-10,0.22252275031336488,2.2126566912161034,1.6214548687848302,-6.747300244463811,0.18940000914232807,1.8833004578408417,1.380099637179769,3.263400095020611,8.514992397820107,-12.961842825701467
2.9727648573153234,0.7853061738945909,-9.301865979917909e-9,1.24676361523732,5.3373132527490075,3.9112313528118534,0.0018944040347629884,1.3165760963292107e-10,0.23613704012427042,2.348030487395748,1.7206580130379625,-6.747300244463811,0.18940000914232807,1.8833004578408417,1.380099637179769,3.263400095020611,8.514992397820107,-12.961842825701467
